
epoch: 38, VF: 6.64e+00, DVF: 1.38e-02, FH: 1.30e+00, DFH: 3.80e-04, bias_cov: 6.72e+00, Dbias_cov: 1.63e-05, bias_vis: 3.00e-01, Dbias_vis: 1.41e-04, wm: 4.60e+00, Dwm: 2.91e-03, bm: 6.52e+00, Dbm: 2.38e-04, step: 2.50e-01, rej: 3.93e-02
epoch: 39, VF: 6.72e+00, DVF: 1.33e-02, FH: 1.27e+00, DFH: 3.61e-04, bias_cov: 6.72e+00, Dbias_cov: 1.54e-05, bias_vis: 3.03e-01, Dbias_vis: 1.43e-04, wm: 4.63e+00, Dwm: 2.55e-03, bm: 6.53e+00, Dbm: 2.04e-04, step: 2.50e-01, rej: 3.60e-02
epoch: 40, VF: 6.79e+00, DVF: 1.24e-02, FH: 1.24e+00, DFH: 3.42e-04, bias_cov: 6.72e+00, Dbias_cov: 1.44e-05, bias_vis: 3.05e-01, Dbias_vis: 1.43e-04, wm: 4.66e+00, Dwm: 2.77e-03, bm: 6.53e+00, Dbm: 1.90e-04, step: 2.50e-01, rej: 3.19e-02
epoch: 41, VF: 6.87e+00, DVF: 1.24e-02, FH: 1.22e+00, DFH: 3.63e-04, bias_cov: 6.72e+00, Dbias_cov: 1.54e-05, bias_vis: 3.08e-01, Dbias_vis: 1.43e-04, wm: 4.68e+00, Dwm: 2.93e-03, bm: 6.54e+00, Dbm: 2.38e-04, step: 2.50e-01, rej: 4.14e-02
epoch: 42, VF: 6.95e+00, DVF: 1.32e-02, FH: 1.20e+00, DFH: 3.67e-04, bias_cov: 6.73e+00, Dbias_cov: 1.57e-05, bias_vis: 3.11e-01, Dbias_vis: 1.49e-04, wm: 4.70e+00, Dwm: 3.20e-03, bm: 6.54e+00, Dbm: 2.40e-04, step: 2.50e-01, rej: 3.38e-02
epoch: 43, VF: 7.02e+00, DVF: 1.24e-02, FH: 1.18e+00, DFH: 3.82e-04, bias_cov: 6.73e+00, Dbias_cov: 1.64e-05, bias_vis: 3.13e-01, Dbias_vis: 8.81e-05, wm: 4.73e+00, Dwm: 2.06e-03, bm: 6.55e+00, Dbm: 1.17e-04, step: 2.50e-01, rej: 3.56e-02
epoch: 44, VF: 7.10e+00, DVF: 1.29e-02, FH: 1.16e+00, DFH: 3.71e-04, bias_cov: 6.73e+00, Dbias_cov: 1.58e-05, bias_vis: 3.16e-01, Dbias_vis: 1.10e-04, wm: 4.75e+00, Dwm: 2.39e-03, bm: 6.55e+00, Dbm: 1.79e-04, step: 2.50e-01, rej: 3.84e-02
epoch: 45, VF: 7.18e+00, DVF: 1.21e-02, FH: 1.15e+00, DFH: 3.79e-04, bias_cov: 6.73e+00, Dbias_cov: 1.62e-05, bias_vis: 3.18e-01, Dbias_vis: 6.44e-05, wm: 4.77e+00, Dwm: 1.39e-03, bm: 6.56e+00, Dbm: 4.74e-05, step: 2.50e-01, rej: 3.82e-02
epoch: 46, VF: 7.25e+00, DVF: 1.26e-02, FH: 1.13e+00, DFH: 3.80e-04, bias_cov: 6.74e+00, Dbias_cov: 1.64e-05, bias_vis: 3.21e-01, Dbias_vis: 5.68e-05, wm: 4.80e+00, Dwm: 1.37e-03, bm: 6.56e+00, Dbm: 9.66e-05, step: 2.50e-01, rej: 3.82e-02
epoch: 47, VF: 7.33e+00, DVF: 1.21e-02, FH: 1.12e+00, DFH: 3.69e-04, bias_cov: 6.74e+00, Dbias_cov: 1.56e-05, bias_vis: 3.24e-01, Dbias_vis: 8.15e-05, wm: 4.81e+00, Dwm: 1.85e-03, bm: 6.57e+00, Dbm: 1.48e-04, step: 2.50e-01, rej: 3.99e-02
